Nom;Prenom;email;age;Domaine_professionnel;Compétences_acquises;Compétences_en_court;Niveau_de_maîtrise;Compétences_cibles;Durée_apprentissage_par_compétence;Dernière_activité;Score
Harris;Taylor;johnsonjesse@williams-fowler.info;31;Médecine;"Python, SQL, Java";"Cloud, Machine Learning";Débutant;"Kubernetes, Cloud Computing";"2 mois, 4 mois, 5 mois";01/03/2025;7
Andrews;Allison;eclark@gmail.com;60;Ingénierie;"Gestion de projet, Java, SQL";"Java, Cloud";Avancé;"Deep Learning, Cloud Computing";"1 mois, 3 mois, 3 mois";15/02/2025;3
Sanchez;Melanie;alexis11@yahoo.com;37;Finance;"Gestion de projet, Python, SQL";"Machine Learning, DevOps";Débutant;"Blockchain, Cloud Computing";"3 mois, 5 mois, 1 mois";27/02/2025;1
Smith;Lauren;xjones@yahoo.com;33;Finance;"Java, SQL, DevOps";"Cloud, Java";Débutant;"Cloud Computing, Blockchain";"2 mois, 3 mois, 5 mois";20/01/2025;4
Sellers;Dana;holmeschristopher@gmail.com;50;Ingénierie;"Machine Learning, Cloud, Gestion de projet";"Gestion de projet, Machine Learning";Débutant;"Docker, Kubernetes";"3 mois, 5 mois, 1 mois";05/01/2025;2
Blanchard;Ryan;whardin@johnson.com;54;Finance;"DevOps, Machine Learning, Gestion de projet";"Cloud, SQL";Débutant;"Blockchain, Docker";"2 mois, 3 mois, 6 mois";23/02/2025;6
Graves;Heather;jeffdominguez@carr-riley.com;20;Informatique;"DevOps, Machine Learning, Gestion de projet";"Python, Java";Intermédiaire;"Kubernetes, Deep Learning";"2 mois, 1 mois, 1 mois";26/02/2025;3
Weeks;April;campbellemily@yahoo.com;23;Informatique;"Python, Java, Machine Learning";"DevOps, Machine Learning";Intermédiaire;"Deep Learning, Kubernetes";"1 mois, 6 mois, 4 mois";05/01/2025;1
Medina;Geoffrey;garnertammy@gmail.com;34;Ingénierie;"Gestion de projet, Machine Learning, Java";"Cloud, DevOps";Avancé;"Docker, Deep Learning";"3 mois, 6 mois, 5 mois";21/01/2025;10
Hayes;Shawn;shepherdalexander@rodriguez.com;58;Informatique;"Java, Cloud, DevOps";"SQL, Gestion de projet";Intermédiaire;"Blockchain, Cloud Computing";"4 mois, 5 mois, 5 mois";23/02/2025;9
Johnson;Amanda;bgallagher@hotmail.com;46;Informatique;"Machine Learning, Cloud, Java";"Cloud, Machine Learning";Avancé;"Docker, Deep Learning";"1 mois, 6 mois, 2 mois";24/02/2025;2
Valenzuela;Derek;robert78@rosario.com;42;Informatique;"Java, Cloud, SQL";"SQL, Python";Intermédiaire;"Deep Learning, Blockchain";"5 mois, 3 mois, 2 mois";24/01/2025;5
Clark;Jennifer;alyssa69@yahoo.com;27;Finance;"Machine Learning, Java, Cloud";"Gestion de projet, SQL";Avancé;"Deep Learning, Docker";"6 mois, 1 mois, 6 mois";02/02/2025;6
Lara;Craig;jason54@gmail.com;60;Médecine;"DevOps, Cloud, Machine Learning";"Gestion de projet, SQL";Avancé;"Kubernetes, Cloud Computing";"6 mois, 4 mois, 2 mois";26/02/2025;9
Burch;Jeremy;kenneth87@park.biz;47;Informatique;"Gestion de projet, Machine Learning, Cloud";"Gestion de projet, DevOps";Avancé;"Docker, Blockchain";"2 mois, 6 mois, 4 mois";06/01/2025;7
Olson;Sarah;pattersonethan@gmail.com;38;Marketing;"DevOps, Cloud, Machine Learning";"Java, Gestion de projet";Avancé;"Deep Learning, Blockchain";"3 mois, 3 mois, 4 mois";26/02/2025;5
Sandoval;Eric;danielsmith@cuevas.com;54;Finance;"Gestion de projet, DevOps, SQL";"Gestion de projet, Python";Avancé;"Docker, Cloud Computing";"3 mois, 1 mois, 2 mois";02/02/2025;5
Mccall;Alicia;treynolds@yahoo.com;38;Ingénierie;"Gestion de projet, DevOps, Python";"Machine Learning, Gestion de projet";Intermédiaire;"Docker, Blockchain";"5 mois, 6 mois, 2 mois";09/01/2025;5
Chavez;Mike;ogarcia@reynolds.com;29;Médecine;"DevOps, Machine Learning, SQL";"Java, DevOps";Intermédiaire;"Blockchain, Kubernetes";"5 mois, 3 mois, 1 mois";08/01/2025;3
Gregory;Tina;jonhunt@valdez.org;39;Informatique;"Cloud, DevOps, Machine Learning";"Gestion de projet, Python";Avancé;"Deep Learning, Cloud Computing";"5 mois, 6 mois, 2 mois";15/01/2025;6
Andrews;Veronica;gregorydavis@yahoo.com;60;Ingénierie;"Gestion de projet, Machine Learning, SQL";"SQL, DevOps";Intermédiaire;"Kubernetes, Cloud Computing";"6 mois, 3 mois, 2 mois";26/01/2025;2
Miller;Trevor;melissagomez@goodwin-parrish.com;44;Informatique;"Python, Java, Machine Learning";"Machine Learning, Gestion de projet";Intermédiaire;"Blockchain, Kubernetes";"3 mois, 5 mois, 5 mois";22/01/2025;1
Moore;Tamara;jesse38@yahoo.com;41;Médecine;"SQL, Java, Python";"SQL, Java";Intermédiaire;"Deep Learning, Blockchain";"4 mois, 3 mois, 4 mois";04/02/2025;3
Huber;Cassandra;wsmith@yahoo.com;59;Ingénierie;"Java, SQL, DevOps";"Machine Learning, Cloud";Débutant;"Blockchain, Kubernetes";"4 mois, 3 mois, 1 mois";04/01/2025;10
Harris;Miranda;brandonbrooks@yahoo.com;59;Ingénierie;"Gestion de projet, DevOps, Java";"Python, DevOps";Intermédiaire;"Docker, Deep Learning";"1 mois, 4 mois, 1 mois";01/02/2025;7
Johnson;Gabriel;cummingssierra@yahoo.com;33;Ingénierie;"SQL, Cloud, Gestion de projet";"Python, DevOps";Intermédiaire;"Cloud Computing, Blockchain";"4 mois, 1 mois, 6 mois";09/02/2025;5
Phillips;Rebecca;kim77@gmail.com;36;Finance;"SQL, DevOps, Java";"Java, Cloud";Débutant;"Blockchain, Cloud Computing";"3 mois, 3 mois, 4 mois";04/01/2025;2
Johnson;Evan;shannongood@martin.net;49;Marketing;"DevOps, Cloud, SQL";"Python, Gestion de projet";Débutant;"Docker, Kubernetes";"5 mois, 1 mois, 6 mois";24/01/2025;8
